review_id,source,review_text,rating,review_date,app_version
play_9dc6dcd2-20d8-4ed4-a2de-f8bc7d3f1358,Play Store,"My experience with my last few orders has been extremely disappointing. Almost every order I placed was eventually cancelled. Some products were initially supposed to be delivered the next day, but they were delayed for 8–9 days and then cancelled altogether. After making me wait for so long, the products were still not delivered. This has been happening quite frequently recently, and it is extremely frustrating and disappointing.",1.0,2026-08-12 00:41:24.000000,4.0.4
play_3415230b-0980-48f1-bafc-f16ea0c8c7fa,Play Store,"Worst e-commerce platform ever, I've requested return for a product, which was labeled easy return, but whenever I request for return, it cancels. I tried to reach out customer care too, but couldn't connect to anybody. A huge gap in Communication with customers. I and my friends are definitely not gonna use it further. I'll suggest everybody reading this, not to use this application at all, instead you can use other platforms which have better communication with their customers.",1.0,2026-08-12 15:00:06.000000,4.0.4
play_1020460f-aa66-4b79-99e9-caf89a5731c0,Play Store,"The worst experience with this app. When I placed my order, it showed 90-minute delivery, but the order kept getting delayed repeatedly for an entire week. Finally, they cancelled the order themselves. It has now been a week, and my money is still stuck with them—no products and no refund. This is extremely disappointing and frustrating. The least they can do is process the refund promptly instead of holding customers’ money for days.",1.0,2026-08-13 14:35:13.000000,4.0.4
play_6df25965-ec85-44a1-b2a8-91e3b4184b79,Play Store,"Extremely disappointing and unacceptable. My order was delivered in 2 shipments, and one shipment was supposed to contain 21 items but had only 3 products inside, including 1 free gift. 19 paid products were missing! A huge waste of money, time and effort. Customer service has been extremely unhelpful and has not provided a proper resolution. Nykaa seriously needs to improve its packing and customer support. This is completely a fraud. Want immediate action on this.",1.0,2026-08-14 22:01:10.000000,4.0.4
play_dec75539-1feb-4ee4-8b5b-88275a6b1303,Play Store,"This is the worst app ever, the most rubbish. I've never used such a bad app. I placed an order, the order left for delivery but never arrived. It's been many days since this has been happening. The delivery time has also passed, yet there's no delivery. And when you complain to the help center, they say they will do something but they don't. I also called the delivery partner, he said he would deliver it by evening, but he didn't. They say they couldn't find the address, but the delivery partne",1.0,2026-08-27 19:48:45.000000,4.0.4
play_31bc4ace-84cc-43d9-b74e-554d7883a1d1,Play Store,"I placed my order on 25th July,and it was supposed to be delivered by 29th July. However, the delivery kept getting postponed with no proper updates. From the day I placed the order, the tracking showed my package stuck at the same location for 12 days. Who waits over 12 days for beauty products? It is extremely frustrating. The worst part was that I couldn't even cancel the order, and I wasn't receiving my product either.This is a very disappointing experience and reflect poor customer service.",1.0,2026-08-07 16:40:06.000000,4.0.4
play_83857ba1-7bb4-4e7e-8f3a-e62411e4f9bc,Play Store,"Hi Nykaa team, I would like to review about your management of the app it's really good, the offers on the app surely amazes me but the problem which stood out there for quite a bit is that - I ordered a product from your site and due to some issues I want to return it, even though I raised a request for it within the 15 days of the delivery but it's been a while and still I haven't received any official message from your team regarding that so please into it. I hope you will take action asap.",3.0,2026-08-28 16:58:03.000000,4.0.4
play_ff85fe19-3f5d-40ab-b4ae-cb06f0503435,Play Store,"have had a terrible experience with Nykaa. I ordered a few items, but one of the products was missing from my delivery. Despite this, they have not issued a refund. Whenever I call customer care, they give me conflicting responses. Sometimes they claim the refund will arrive in two days, and other times they refuse to help, stating that the complaint can only be registered if I call from the exact phone number used to place the order. This feels like a scam, and they have essentially taken my m",1.0,2026-08-22 20:03:06.000000,4.0.4
play_a0186952-8d7b-4d47-9fb5-d81f4ef63827,Play Store,"Their delivery service is the worst. I ordered a product about a week ago and not only did it not get delivered, the reason stated was that I was unavailable to collect it. They kept playing the game of reattempting delivery and a product that was scheduled to be delivered in 3 days is now being returned without informing me, the customer. This is not the first time this has happened because I have had to cancel some of my previous orders because of their carelessness in handling these things.",1.0,2026-08-10 17:09:58.000000,4.0.4
play_a90997b2-9997-4d22-b80f-b1d6ed031bf7,Play Store,"Committed FRAUD. They show products in stock when they're not and then don't deliver and don't even bother cancelling the order on their end. They kept the money until I called them to ask why there was a delay and only then they bothered mentioning that the product is not there. Customer service is dumb and thinks ""I don't know"" is an acceptable answer to these queries. It's the job of a CS to know and find out at least. Their website shouldn't be this shoddy for a multi-million dollar company.",1.0,2026-08-12 11:29:21.000000,4.0.4
